# Source: OSRS game cache via runelite/cache (BSD 2-Clause).
# x y plane	name	category	spriteId	textScale
1310 1253 0	Key Master	1129	-1	0
1310 1277 0	Beware of the dog	1129	-1	1
3356 2205 0	The Little Pearl	1129	-1	0
3262 2237 0	Pearl Bank	1129	-1	1
2977 2271 0	The Onyx Crest	1129	-1	0
2335 2273 0	Rainbow's End	1129	-1	0
3669 2307 0	The Accursed Sea	1129	-1	1
2518 2316 0	The Lonely Sea	1129	-1	1
2212 2327 0	Sunbleak Island	1129	-1	0
2857 2330 0	Last Light	1129	-1	0
3286 2334 0	Cape Conch	1129	-1	0
2278 2340 0	Rainbow Reef	1129	-1	1
3054 2344 0	Sea of Shells	1129	-1	1
2759 2359 0	Anglerfish's Light	1129	-1	1
1278 2371 0	Horizon's End	1129	-1	1
1984 2397 0	Southern Expanse	1129	-1	1
2642 2405 0	Charred Island	1129	-1	0
1850 2413 0	Isle of Serpents	1129	-1	0
3166 2414 0	The Summer Shore	1129	-1	1
2865 2436 0	Unquiet Ocean	1129	-1	2
3187 2455 0	The Great Conch	1129	-1	2
3337 2461 0	Tortugan Sea	1129	-1	1
3200 2485 0	The Sacred Grove	1129	-1	0
2104 2491 0	Shrouded Ocean	1129	-1	2
2874 2497 0	Red Reef	1129	-1	1
3808 2499 0	Forbidden Depths	1129	-1	1
2445 2505 0	The Skullhorde	1129	-1	1
2797 2518 0	Red Rock	1129	-1	1
1510 2528 0	Ochre Sea	1129	-1	1
2274 2531 0	Barracuda HQ	1129	-1	1
3105 2532 0	Abalone Cliffs	1129	-1	0
2530 2533 0	Isle of Bones	1129	-1	0
2169 2558 0	Barracuda Belt	1129	-1	1
1784 2578 0	Sapphire Sea	1129	-1	1
3767 2581 0	Cursed Archipelago	1129	-1	2
2656 2587 0	Pest Control	1129	-1	0
3025 2595 0	Turtle Belt	1129	-1	1
2067 2608 0	Wintumber Island	1129	-1	0
3462 2614 0	The Iron Sea	1129	-1	1
1387 2629 0	Sunset Ocean	1129	-1	2
2757 2636 0	The Simian Sea	1129	-1	1
1190 2642 0	Calidum Reach	1129	-1	1
3048 2648 0	Dognose Island	1129	-1	0
1758 2665 0	The Crown Jewel	1129	-1	0
2636 2666 0	Void Knights' Outpost	1129	-1	1
3282 2667 0	Bay of Elidinis	1129	-1	1
3644 2674 0	Tainted Tides	1129	-1	1
3894 2691 0	Shrieking Waters	1129	-1	1
3365 2705 0	Jaltevas Pyramid	1129	-1	0
2250 2707 0	Sea of Souls	1129	-1	1
2477 2711 0	Anglers' Retreat	1129	-1	0
2700 2711 0	Cape Atoll	1129	-1	0
3269 2718 0	Elid Delta	1129	-1	0
3057 2721 0	Menaphite Sea	1129	-1	1
2915 2723 0	Crash Island	1129	-1	0
1884 2729 0	The Everdeep	1129	-1	1
3335 2730 0	Necropolis	1129	-1	0
2530 2742 0	Mythic Sea	1129	-1	1
1427 2747 0	Misty Sea	1129	-1	1
2849 2754 0	Arrow Passage	1129	-1	1
2755 2755 0	Ape Atoll	1129	-1	2
3211 2762 0	Menaphos	1129	-1	1
2333 2770 0	Tear of the Soul	1129	-1	0
1190 2778 0	Laguna Aurorae	1129	-1	0
3298 2783 0	Sophanem	1129	-1	1
2585 2784 0	Fort Locke	1129	-1	0
2763 2784 0	Marim	1129	-1	1
1568 2786 0	Shimmering Atoll	1129	-1	0
2916 2790 0	Ardent Ocean	1129	-1	2
1949 2793 0	Deepfin Point	1129	-1	1
3288 2798 0	Jalsavrah Pyramid	1129	-1	0
2091 2806 0	Soul Bay	1129	-1	1
3485 2818 0	Scabaras' Shallows	1129	-1	1
2644 2828 0	Oo'glog Channel	1129	-1	1
3413 2832 0	Ruins of Ullek	1129	-1	1
2898 2837 0	Rock Island Prison	1129	-1	0
3123 2839 0	Sea Spirit Dock	1129	-1	0
3171 2841 0	Ruins of Unkah	1129	-1	1
1632 2844 0	Wyrm's Waters	1129	-1	1
3365 2845 0	Jaleustrophos Pyramid	1129	-1	0
3015 2847 0	Tempoross Cove	1129	-1	1
2457 2848 0	Myths' Guild	1129	-1	0
2210 2851 0	Soul Wars Lobby	1129	-1	1
2822 2851 0	Kharazi Strait	1129	-1	1
3682 2854 0	Eastern Ocean	1129	-1	2
2570 2858 0	Corsair Cove	1129	-1	1
3808 2863 0	Harmony	1129	-1	1
1384 2866 0	Mistrock	1129	-1	1
2388 2866 0	Breakbone Strait	1129	-1	1
2209 2878 0	Isle of Souls	1129	-1	2
3082 2878 0	The Storm Tempor	1129	-1	1
2127 2893 0	Avatar of Creation	1129	-1	0
3233 2900 0	Jaldraocht Pyramid	1129	-1	0
1765 2901 0	Aureum Coast	1129	-1	1
2163 2902 0	Western Graveyard	1129	-1	0
3429 2902 0	Nardah	1129	-1	1
3172 2904 0	Quarry	1129	-1	0
3754 2908 0	Strait of Discord	1129	-1	1
2128 2909 0	Blue Base	1129	-1	0
2207 2915 0	Soul Obelisk	1129	-1	0
2287 2919 0	Red Base	1129	-1	0
1311 2920 0	Darkmoon Ravine	1129	-1	0
1640 2921 0	Colossal Wyrm Remains	1129	-1	0
1360 2922 0	Moonrise Brewery and Winery	1129	-1	0
2844 2923 0	Kharazi Jungle	1129	-1	1
2254 2929 0	Eastern Graveyard	1129	-1	0
3311 2930 0	Kharidian Desert	1129	-1	2
2207 2932 0	Soul Wars Arena	1129	-1	1
1448 2933 0	Villa Lucens	1129	-1	0
1538 2933 0	Sunset Bay	1129	-1	1
2287 2935 0	Avatar of Destruction	1129	-1	0
1391 2942 0	Aldarin	1129	-1	1
1239 2948 0	Dusk's Maw	1129	-1	1
2546 2950 0	Feldip Hills	1129	-1	2
2699 2955 0	Feldip Gulf	1129	-1	1
3103 2968 0	Kharidian Sea	1129	-1	1
1740 2969 0	Stonecutter Outpost	1129	-1	0
2814 2972 0	River Shilo	1129	-1	0
3512 2973 0	Ancient Vault	1129	-1	0
1994 2977 0	Western Gate	1129	-1	1
3175 2977 0	Bandit Camp	1129	-1	0
2764 2979 0	Cairn Isle	1129	-1	0
3356 2980 0	Pollnivneach	1129	-1	1
3902 2981 0	Mos Le'Water	1129	-1	1
1886 2984 0	Vatrachos Island	1129	-1	0
2849 2986 0	Shilo Village	1129	-1	1
1516 2990 0	Sunset Coast	1129	-1	1
1686 2991 0	Locus Oasis	1129	-1	0
3042 2992 0	The Pandemonium	1129	-1	1
3786 2998 0	Trouble Brewing	1129	-1	0
2349 3002 0	Backwater	1129	-1	1
3586 3010 0	Uzer Channel	1129	-1	1
1618 3020 0	Avium Savannah	1129	-1	1
1821 3020 0	Fortis Bay	1129	-1	1
3291 3022 0	Desert Mining Camp	1129	-1	0
3109 3025 0	The Node	1129	-1	0
3725 3028 0	Mos Le'Harmless	1129	-1	2
2158 3032 0	Zul-Egil	1129	-1	1
2914 3032 0	River Amja	1129	-1	0
1306 3035 0	Crypt of Tonali	1129	-1	0
2623 3036 0	Gu'tanoth Bay	1129	-1	1
3170 3038 0	Bedabin Camp	1129	-1	0
3489 3043 0	Uzer Oasis	1129	-1	0
1372 3044 0	Kastori	1129	-1	1
1103 3045 0	Aehecatl	1129	-1	1
2528 3046 0	Gu'Tanoth	1129	-1	1
2464 3047 0	Jiggig	1129	-1	0
1558 3048 0	Hunter Guild	1129	-1	0
2379 3055 0	Chompy Marsh	1129	-1	0
2990 3055 0	Shipyard	1129	-1	0
2860 3059 0	Karamja	1129	-1	2
1707 3064 0	Outer Fortis	1129	-1	0
2794 3066 0	Tai Bwo Wannai	1129	-1	1
2201 3068 0	Zul-Andra	1129	-1	0
3371 3068 0	River Elid	1129	-1	0
2270 3074 0	Zulrah's shrine	1129	-1	0
2589 3077 0	Wizards' Guild	1129	-1	0
2981 3090 0	Mudskipper Sound	1129	-1	1
2549 3091 0	Yanille	1129	-1	1
1302 3098 0	Tlati Rainforest	1129	-1	1
2241 3098 0	Poison Waste	1129	-1	1
3479 3098 0	Ruins of Uzer	1129	-1	1
3105 3099 0	Tutorial Island	1129	-1	1
3226 3099 0	Kalphite Lair	1129	-1	0
2664 3102 0	Yanille Chain	1129	-1	0
1737 3105 0	Park	1129	-1	0
3184 3106 0	Lumbridge Basin	1129	-1	1
1681 3108 0	Bazaar	1129	-1	0
1825 3109 0	Fortis Colosseum	1129	-1	0
1963 3110 0	Minotaurs' Rest	1129	-1	0
2432 3111 0	Castle Wars	1129	-1	0
1220 3113 0	Tal Teklan	1129	-1	1
1375 3117 0	River Varla	1129	-1	0
2990 3118 0	Mudskipper Point	1129	-1	0
2608 3120 0	Nightmare Zone	1129	-1	0
3331 3120 0	Kalphite Cave	1129	-1	0
2155 3122 0	Port Tyras	1129	-1	0
3694 3122 0	Murkshore Sea	1129	-1	1
1436 3124 0	Cam Torum Entrance	1129	-1	0
3304 3126 0	Shantay Pass	1129	-1	0
1570 3127 0	Ortus Farm	1129	-1	0
1713 3127 0	Civitas illa Fortis	1129	-1	1
2704 3131 0	Strait of Khazard	1129	-1	1
2855 3133 0	Musa Passage	1129	-1	0
3253 3144 0	Lum Lagoon	1129	-1	0
3518 3145 0	Sanctuary's End	1129	-1	1
1760 3146 0	Fortis Cothon	1129	-1	0
2180 3147 0	Tyras Camp	1129	-1	0
