# Source: OSRS Wiki Anvil, fetched 2026-05-24, 79 rows
# x1 y1 x2 y2 plane	name
2644 2391 2646 2393 0	Charred Island Anvil
3177 2426 3179 2428 0	The Summer Shore Anvil
2649 2657 2651 2659 0	Void Knights' Outpost Anvil
2651 2657 2653 2659 0	Void Knights' Outpost Anvil
2065 2718 2067 2720 0	Shipyard Anvil
1948 2760 1950 2762 0	Deepfin Point Anvil
2217 2783 2219 2785 0	Isle Of Souls Anvil
3405 2833 3407 2835 0	Ruins Of Ullek Anvil
1400 2862 1402 2864 0	Mistrock Anvil
3408 2920 3410 2922 0	Nardah Anvil
3170 3047 3172 3049 0	An Experimental Anvil
1777 3056 1779 3058 0	Outer Fortis Anvil
1777 3059 1779 3061 0	Outer Fortis Anvil
2612 3077 2614 3079 0	Yanille Anvil
2612 3080 2614 3082 0	Yanille Anvil
2615 3080 2617 3082 0	Yanille Anvil
2789 3100 2791 3102 0	Karamja Anvil
1213 3109 1215 3111 0	Tal Teklan Anvil
2998 3143 3000 3145 0	Mudskipper Point Anvil
3359 3154 3361 3156 0	Giants' Plateau Anvil
2649 3163 2651 3165 0	Port Khazard Anvil
2651 3163 2653 3165 0	Port Khazard Anvil
2651 3165 2653 3167 0	Port Khazard Anvil
3226 3249 3228 3251 0	Rusted Anvil
3753 3317 3755 3319 0	Slepe Anvil
3753 3319 3755 3321 0	Slepe Anvil
2500 3329 2502 3331 0	West Ardougne Anvil
2498 3331 2500 3333 0	West Ardougne Anvil
1402 3340 1404 3342 0	Auburnvale Anvil
3663 3360 3665 3362 0	Darkmeyer Anvil
3665 3360 3667 3362 0	Darkmeyer Anvil
3663 3362 3665 3364 0	Darkmeyer Anvil
3665 3362 3667 3364 0	Darkmeyer Anvil
3245 3403 3247 3405 0	WesternVarrock Anvil
3247 3403 3249 3405 0	WesternVarrock Anvil
3081 3410 3083 3412 0	Barbarian Anvil
2634 3415 2636 3417 0	Hemenster Anvil
2636 3417 2638 3419 0	Hemenster Anvil
2638 3419 2640 3421 0	Hemenster Anvil
3187 3420 3189 3422 0	WesternVarrock Anvil
3187 3423 3189 3425 0	WesternVarrock Anvil
3187 3425 3189 3427 0	WesternVarrock Anvil
3227 3433 3229 3435 0	WesternVarrock Anvil
3227 3435 3229 3437 0	WesternVarrock Anvil
2949 3450 2951 3452 0	Falador Anvil
2949 3451 2951 3453 0	Falador Anvil
2501 3484 2503 3486 0	Barbarian Anvil
2712 3491 2714 3493 0	Seers' Village Anvil
2711 3494 2713 3496 0	Seers' Village Anvil
2713 3494 2715 3496 0	Seers' Village Anvil
2917 3572 2919 3574 0	Burthorpe Anvil
2619 3660 2621 3662 0	Rellekka Anvil
2619 3662 2621 3664 0	Rellekka Anvil
1595 3663 1597 3665 0	Kourend Castle Anvil
2619 3664 2621 3666 0	Rellekka Anvil
2990 3688 2992 3690 0	Wilderness Anvil
1401 3754 1403 3756 0	Lovakengj Anvil
1399 3757 1401 3759 0	Lovakengj Anvil
2393 3795 2395 3797 0	Jatizso Anvil
2396 3804 2398 3806 0	Jatizso Anvil
1526 3828 1528 3830 0	Lovakengj Anvil
1529 3828 1531 3830 0	Lovakengj Anvil
1528 3831 1530 3833 0	Lovakengj Anvil
2550 3897 2552 3899 0	Miscellania Anvil
3189 3937 3191 3939 0	WildernessResource Area Anvil
3061 3951 3063 3953 0	Wilderness Anvil
2880 5222 2882 5224 0	Ancient Prison Anvil
2954 5801 2956 5803 0	Ruins Of Camdozaal Anvil
2959 5802 2961 5804 0	Ruins Of Camdozaal Anvil
2440 6085 2442 6087 0	Underground Pass Anvil
2614 6365 2616 6367 0	Lassar Undercity Anvil
1800 9488 1802 9490 0	Fortis Colosseum Anvil
1804 9500 1806 9502 0	Fortis Colosseum Anvil
1472 10094 1474 10096 0	Anvil (Chasm Of Fire) Anvil
1765 10157 1767 10159 0	The Warrens Anvil
1747 5282 1757 5292 1	Dragon Forge Anvil
1445 9581 1447 9583 1	Cam Torum Anvil
1445 9585 1447 9587 1	Cam Torum Anvil
2463 2847 2465 2849 2	Myths' Guild Anvil
