# Source: OSRS Wiki Bank_chest, fetched 2026-05-24, 52 rows
# x1 y1 x2 y2 plane	name
2807 2519 2811 2523 0	Red Rock Bank Chest
1934 2752 1938 2756 0	Deepfin Point Bank Chest
2778 2780 2782 2784 0	Ape Atoll Bank Chest
3153 2833 3157 2837 0	Ruins Of Unkah Bank Chest
2210 2858 2214 2862 0	Soul Warslobby Bank Chest
3808 3018 3812 3022 0	Trouble Brewing Bank Chest
1540 3037 1544 3041 0	Hunter Guild Bank Chest
2442 3081 2446 3085 0	Castle Wars Bank Chest
3307 3118 3311 3122 0	Shantay Pass Bank Chest
2659 3161 2663 3165 0	Port Khazard Bank Chest
3218 3215 3222 3219 0	Lumbridge(PvP Worldsonly) Bank Chest
2934 3278 2938 3282 0	Crafting Guild Bank Chest
2977 3342 2981 3346 0	Falador(PvP Worldsonly) Bank Chest
1511 3419 1515 3423 0	Land's End Bank Chest
1716 3463 1720 3467 0	Hosidiusbeach Bank Chest
3090 3467 3094 3471 0	Edgeville(PvP Worldsonly) Bank Chest
1590 3473 1594 3477 0	Woodcutting Guild Bank Chest
2753 3477 2757 3481 0	Camelot(PvP Worldsonly) Bank Chest
1807 3565 1811 3569 0	Vinery Bank Chest
1252 3570 1256 3574 0	Mount Quidamortem Bank Chest
2535 3571 2539 3575 0	Barbarian Assault Bank Chest
1673 3613 1677 3617 0	Hosidius Kitchen Bank Chest
3128 3630 3132 3634 0	Ferox Enclave Bank Chest
1481 3643 1485 3647 0	Shayzien Encampment Bank Chest
1484 3643 1488 3647 0	Shayzien Encampment Bank Chest
1251 3740 1255 3744 0	Farming Guild Bank Chest
3740 3803 3744 3807 0	Museum Camp[1] Bank Chest
2332 3806 2336 3810 0	Neitiznot Bank Chest
2333 3806 2337 3810 0	Neitiznot Bank Chest
2336 3806 2340 3810 0	Neitiznot Bank Chest
2337 3806 2341 3810 0	Neitiznot Bank Chest
3818 3807 3822 3811 0	Fossil Island Volcano Bank Chest
1322 3823 1326 3827 0	Mount Karuulm Bank Chest
1477 3849 1481 3853 0	Blast Mine Bank Chest
1499 3854 1503 3858 0	Blast Mine Bank Chest
1452 3857 1456 3861 0	Sulphur Mine Bank Chest
1493 3872 1497 3876 0	Blast Mine Bank Chest
1474 3875 1478 3879 0	Blast Mine Bank Chest
1639 3942 1643 3946 0	Wintertodt Bank Chest
3418 4055 3422 4059 0	Daimon's Crater Bank Chest
3424 4068 3428 4072 0	Daimon's Crater Bank Chest
2532 4709 2536 4713 0	Mage Arena Bank Chest
3759 5664 3763 5668 0	Motherlode Mine Bank Chest
1397 9311 1401 9315 0	Alchemical Society Bank Chest
3617 9471 3621 9475 0	Temple Of The Eye Bank Chest
1803 9499 1807 9503 0	Fortis Colosseum Bank Chest
3373 11491 3377 11495 0	Giants' Foundry Bank Chest
2463 2847 2467 2851 1	Myths' Guild Bank Chest
3365 3316 3369 3320 1	Mage Training Arena Bank Chest
2729 3377 2733 3381 2	Legends' Guild Bank Chest
2731 3377 2735 3381 2	Legends' Guild Bank Chest
2730 3380 2734 3384 2	Legends' Guild Bank Chest
