# Source: OSRS Wiki List_of_banks, fetched 2026-05-24, 125 rows
# x1 y1 x2 y2 plane	name
2983 2266 2987 2270 0	The Onyx Crest Chest Bank
2192 2312 2196 2316 0	Sunbleak Island Chest Bank
2653 2385 2657 2389 0	Charred Island Chest Bank
3178 2416 3186 2422 0	The Great Conch Bank
2807 2519 2811 2523 0	Red Rock Chest Bank
2278 2542 2282 2546 0	Bank Boat Bank
2663 2649 2671 2657 0	Void Knights' Outpost Bank
3335 2715 3355 2735 0	Tombs Of Amascut Bank
1934 2752 1938 2756 0	Deepfin Point Chest Bank
2778 2781 2784 2787 0	Ape Atoll Bank
3305 2792 3319 2806 0	Sophanem Bank
3154 2835 3158 2839 0	Unkah Chest Bank
1378 2863 1386 2869 0	Mistrock Bank
2568 2863 2573 2868 0	Corsair Cove Bank
3422 2886 3432 2896 0	Nardah Bank
1396 2923 1403 2931 0	Aldarin Bank
2842 2945 2862 2965 0	Shilo Village Bank
3677 2978 3685 2986 0	Mos Le’Harmless Bank
3037 2998 3041 3002 0	The Pandemonium Bank Crab Bank
3808 3018 3812 3022 0	Trouble Brewing Chest Bank
1539 3037 1545 3043 0	Hunter Guild Bank
2442 3079 2448 3085 0	Castle Wars Lobby Chest Bank
2606 3086 2620 3100 0	Yanille Bank
1775 3091 1785 3101 0	Fortis East Bank
2780 3092 2784 3096 0	Rionasta Bank
1643 3113 1653 3123 0	Fortis West Bank
3113 3115 3131 3133 0	Tutorial Island Bank
1240 3117 1249 3126 0	Tal Teklan Bank
3306 3117 3310 3121 0	Shantay Pass Bank
2347 3157 2357 3167 0	Lletya Bank
2659 3158 2665 3164 0	Port Khazard Chest Bank
3261 3159 3277 3175 0	Al Kharid Bank
3648 3204 3654 3208 0	Ver Sinhaza Bank
3490 3205 3502 3217 0	Burgh De Rott Bank
3218 3216 3224 3222 0	Lumbridge PvP Chest Bank
1517 3226 1523 3232 0	Quetzacalli Gorge Bank
3043 3232 3047 3236 0	Port Sarimdeposit Box Bank
3087 3238 3099 3250 0	Draynor Bank
3379 3265 3389 3275 0	Emir's Arena Bank
2644 3275 2662 3293 0	Ardougne South Bank
2934 3278 2938 3282 0	Crafting Guild Chest Bank
1524 3291 1528 3295 0	The Darkfrost Bank
1385 3309 1389 3313 0	Nemus Retreat Bank
1880 3312 1886 3320 0	Port Roberts Bank
2610 3326 2624 3340 0	Ardougne North Bank
2967 3339 2973 3345 0	Falador PvP Chest Bank
3007 3349 3023 3365 0	Falador East Bank
1413 3350 1420 3357 0	Auburnvale Bank
3592 3356 3612 3376 0	Darkmeyer Bank
2937 3358 2955 3376 0	Falador West Bank
2578 3406 2598 3426 0	Fishing Guild Bank
2200 3407 2204 3411 0	Gwenithdeposit Box Bank
1503 3411 1523 3431 0	Land's End Chest Bank
3246 3413 3262 3429 0	Varrock East Bank
2441 3419 2451 3429 0	Gnome Stronghold South Bank
3176 3432 3194 3450 0	Varrock West Bank
2805 3437 2815 3447 0	Catherby Bank
3146 3446 3150 3450 0	Cook's Guild Bank
3683 3459 3701 3477 0	Port Phasmatys Bank
1713 3460 1721 3468 0	Charcoal Camp Chest Bank
3091 3466 3097 3472 0	Edgeville PvP Chest Bank
3506 3472 3518 3484 0	Canifis Bank
1589 3475 1594 3481 0	Woodcutting Guild Chest Bank
2754 3475 2760 3481 0	Camelot PvP Chest Bank
3155 3480 3175 3500 0	Grand Exchange Bank
2718 3485 2732 3499 0	Seers’ Village Bank
3087 3486 3103 3502 0	Edgeville Bank
1700 3525 1704 3529 0	Saltpetre Minedeposit Box Bank
2839 3539 2847 3547 0	Warriors’ Guild Bank
1807 3565 1811 3569 0	Vinery Chest Bank
1252 3570 1257 3574 0	Mount Quidamortem Bank
2535 3572 2539 3576 0	Barbarian Outpost Chest Bank
1481 3587 1493 3599 0	Shayzien Bank
1742 3593 1754 3605 0	Hosidius Bank
1674 3614 1678 3618 0	Hosidius Kitchen Chest Bank
3126 3625 3134 3633 0	Ferox Enclave Mercenary Bank
3128 3630 3132 3634 0	Ferox Enclave Bank
1483 3644 1487 3648 0	Shayzien Encampment Bank Chest Bank
2632 3666 2636 3670 0	Peer The Seer Bank
2095 3685 2099 3689 0	Buccaneers' Haven Chest Bank
2325 3685 2335 3695 0	Piscatoris Bank
1516 3729 1536 3749 0	Lovakengj Bank
1620 3735 1640 3755 0	Arceuus Bank
1251 3740 1255 3744 0	Farming Guild Chest Bank
1246 3759 1252 3763 0	Farming Guild Bank
1793 3778 1813 3798 0	Port Piscarilius Bank
