# Source: OSRS Wiki Charter_ship, fetched 2026-05-24, 21 rows
# x1 y1 x2 y2 plane	name
3186 2364 3188 2366 0	The Summer Shore Charter Ship
2804 2501 2806 2503 0	Red Rock Charter Ship
1943 2750 1945 2752 0	Deepfin Point Charter Ship
2589 2850 2591 2852 0	Corsair Cove Charter Ship
3669 2930 3671 2932 0	Mos Le'Harmless Charter Ship
1454 2967 1456 2969 0	Aldarin Charter Ship
1513 2969 1515 2971 0	Sunset Coast Charter Ship
3059 2999 3061 3001 0	The Pandemonium Charter Ship
2999 3031 3001 3033 0	Karamja Shipyard Charter Ship
2141 3122 2143 3124 0	Port Tyras Charter Ship
1742 3135 1744 3137 0	Civitas Illa Fortis Charter Ship
2673 3142 2675 3144 0	Port Khazard Charter Ship
2954 3157 2956 3159 0	Musa Point Charter Ship
3037 3190 3039 3192 0	Port Sarim Charter Ship
2760 3237 2762 3239 0	Brimhaven Charter Ship
1870 3313 1872 3315 0	Port Roberts Charter Ship
2156 3330 2158 3332 0	Prifddinas Charter Ship
1494 3402 1496 3404 0	Land's End Charter Ship
2791 3414 2793 3416 0	Catherby Charter Ship
3702 3502 3704 3504 0	Port Phasmatys Charter Ship
1808 3678 1810 3680 0	Port Piscarilius Charter Ship
