# Source: OSRS Wiki Furnace, fetched 2026-05-24, 28 rows
# x1 y1 x2 y2 plane	name
2982 2281 2984 2283 0	The Onyx Crest Furnace
3173 2428 3175 2430 0	The Summer Shore Furnace
1947 2754 1949 2756 0	Deepfin Point Furnace
2856 2966 2858 2968 0	Shilo Village Furnace
1207 3111 1209 3113 0	Tal Teklan Furnace
1769 3111 1771 3113 0	Civitas Illa Fortis Furnace
2192 3145 2194 3147 0	Tyras Camp Furnace
3272 3186 3274 3188 0	Al Kharid Furnace
3526 3208 3528 3210 0	Burgh De Rott Furnace
3226 3256 3228 3258 0	Lumbridge Furnace
1621 3290 1623 3292 0	Salvager Overlook Furnace
2601 3311 2603 3313 0	East Ardougne Furnace
3656 3335 3658 3337 0	Darkmeyer Furnace
2833 3351 2835 3353 0	Entrana Furnace
2975 3368 2977 3370 0	Falador Furnace
1374 3370 1376 3372 0	Auburnvale Furnace
3687 3479 3689 3481 0	Port Phasmatys Furnace
2706 3493 2714 3501 0	Elemental Workshop Furnace
3109 3498 3111 3500 0	Edgeville Furnace
2616 3666 2618 3668 0	Rellekka Furnace
2341 3677 2343 3679 0	Piscatoris Furnace
3143 3736 3145 3738 0	Wilderness,Level 28 Furnace
1506 3772 1508 3774 0	Lovakengj Furnace
1324 3806 1326 3808 0	Mount Karuulm Furnace
2343 3810 2345 3812 0	Neitiznot Furnace
1383 3827 1385 3829 0	The Forsaken Tower Furnace
3191 3934 3193 3936 0	Wilderness Resource Area Furnace
3286 6051 3288 6053 0	Prifddinas Furnace
