# Source: OSRS Wiki Unique landmarks, fetched 2026-05-24, 72 rows
# x1 y1 x2 y2 plane	name
2760 2700 2766 2706 0	Ape Atoll Dungeon
3306 2958 3314 2966 0	Smoke Dungeon
2758 3061 2762 3065 0	Brimhaven Dungeon
2585 3082 2597 3094 0	Wizards' Guild
3006 3148 3010 3152 0	Asgarnian Ice Dungeon
2742 3153 2746 3157 0	Brimhaven Dungeon
2807 3192 2811 3196 0	Brimhaven Agility Arena
3199 3201 3231 3237 0	Lumbridge Castle
1507 3288 1511 3292 0	The Hueycoatl
2633 3292 2637 3296 0	Mahogany Homes
3017 3337 3022 3342 0	Mining Guild
2987 3361 2991 3365 0	Mahogany Homes
3652 3385 3657 3389 0	Hallowed Sepulchre
2882 3396 2886 3400 0	Taverley Dungeon
2651 3411 2686 3446 0	Ranging Guild
1126 3415 1130 3419 0	Vardorvis
2426 3423 2430 3427 0	Stronghold Slayer Cave
2547 3436 2565 3454 0	Glarial's Tomb
3114 3450 3118 3454 0	Edgeville Dungeon
3541 3460 3545 3464 0	Werewolf Agility Course
3095 3467 3099 3471 0	Edgeville Dungeon
3239 3469 3243 3473 0	Mahogany Homes
1563 3472 1658 3519 0	Woodcutting Guild
1796 3481 1841 3517 0	Tithe Farm
2811 3502 2939 3582 0	Burthorpe
2433 3517 2439 3523 0	Crash Site Cavern
2894 3526 2898 3530 0	Death Plateau
2838 3534 2877 3557 0	Warriors' Guild
2904 3535 2908 3539 0	Rogues' Den
2818 3553 2822 3557 0	Death Plateau
1667 3565 1671 3569 0	Catacombs Of Kourend
1667 3565 1671 3569 0	Forthos Dungeon
1700 3572 1704 3576 0	Forthos Dungeon
2852 3575 2856 3579 0	Death Plateau
1419 3585 1423 3589 0	Catacombs Of Kourend
1780 3622 1784 3626 0	Mahogany Homes
1468 3651 1472 3655 0	Catacombs Of Kourend
3258 3662 3262 3666 0	Wilderness Slayer Cave
1637 3672 1641 3676 0	Catacombs Of Kourend
3200 3678 3206 3684 0	Corporeal Beast
3011 3734 3021 3744 0	Wilderness God Wars Dungeon
3291 3746 3295 3750 0	Wilderness Slayer Cave
3217 3786 3221 3790 0	Vet'ion
1561 3789 1565 3793 0	Catacombs Of Kourend
3317 3796 3321 3800 0	Venenatis
1669 3831 1673 3835 0	Wintertodt
1608 3836 1612 3840 0	Wintertodt
1628 3838 1632 3842 0	Wintertodt
3289 3847 3293 3851 0	Callisto
1669 3848 1673 3852 0	Wintertodt
1694 3863 1698 3867 0	Catacombs Of Kourend
1638 3868 1642 3872 0	Wintertodt
3082 3912 3129 3955 0	Mage Arena
3259 3925 3263 3929 0	Chaos Elemental
3001 3934 3007 3940 0	Wilderness Agility Course
1628 3938 1632 3942 0	Wintertodt
1630 3945 1634 3949 0	Wintertodt
2267 4060 2271 4064 0	Vorkath
1360 4509 1364 4513 0	Amoxliatl
1920 4608 2041 4672 0	Mourner Tunnels
2269 5659 2273 5663 0	Skotizo
3029 6046 3033 6050 0	Zalcano
2654 6367 2658 6371 0	The Whisperer
2079 6370 2083 6374 0	The Leviathan
3037 6452 3041 6456 0	Duke Sucellus
3628 9811 3632 9815 0	Araxxor
2879 9824 2883 9828 0	Taverley Dungeon
1501 10089 1505 10093 0	Yama
2907 10315 2911 10319 0	Phantom Muspah
2575 3291 2579 3295 1	Underground Pass
2991 4252 2995 4256 2	Corporeal Beast
2991 4380 2995 4384 2	Corporeal Beast
