# Source: OSRS Wiki Spirit_tree, fetched 2026-05-24, 17 rows
# x1 y1 x2 y2 plane	name
1200 2784 1204 2788 0	Laguna Aurorae Spirit Tree
2484 2848 2488 2852 0	South-west Corner Of Feldip Hills , Next To The Myths' Guild Spirit Tree
2337 3109 2341 3113 0	East Of The Poison Waste Spirit Tree
2537 3164 2541 3168 0	Tree Gnome Village In The Middle Of The Gnome Maze Spirit Tree
2541 3166 2545 3170 0	Tree Gnome Village In The Middle Of The Gnome Maze Spirit Tree
2800 3201 2804 3205 0	North-eastern Part Of Brimhaven , Near The Agility Arena Spirit Tree
3058 3256 3062 3260 0	Easternmost Part Of Port Sarim Spirit Tree
2553 3257 2557 3261 0	Battlefield Of Khazard Spirit Tree
2553 3258 2557 3262 0	Battlefield Of Khazard Spirit Tree
2458 3443 2462 3447 0	Gnome Stronghold Spirit Tree
2458 3444 2462 3448 0	Gnome Stronghold Spirit Tree
3182 3507 3186 3511 0	North-east Corner Of The Grand Exchange In Varrock Spirit Tree
3183 3508 3187 3512 0	North-east Corner Of The Grand Exchange In Varrock Spirit Tree
1691 3540 1695 3544 0	Hosidius , Next To The Saltpetre Deposits And South-east Of The Forthos Ruin Spirit Tree
1251 3748 1255 3752 0	Inside The Advanced Tier Of The Farming Guild Spirit Tree
2611 3856 2615 3860 0	In South-eastern Etceteria Spirit Tree
3273 6122 3277 6126 0	Prifddinas Spirit Tree
